,Hospital Type,Hospital Ownership,Emergency Services,Provider Number,Hospital Name,Address 1,Address 2,Address 3,City,State,ZIP Code,County Name,Phone Number,Hospital 30-Day Death (Mortality) Rates from Heart Attack,Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Number of Patients - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Footnote - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Hospital 30-Day Death (Mortality) Rates from Heart Failure,Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Number of Patients - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Footnote - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Hospital 30-Day Death (Mortality) Rates from Pneumonia,Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Number of Patients - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Footnote - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Hospital 30-Day Readmission Rates from Heart Attack,Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Heart Attack,Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Attack,Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Attack,Number of Patients - Hospital 30-Day Readmission Rates from Heart Attack,Footnote - Hospital 30-Day Readmission Rates from Heart Attack,Hospital 30-Day Readmission Rates from Heart Failure,Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Heart Failure,Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Failure,Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Failure,Number of Patients - Hospital 30-Day Readmission Rates from Heart Failure,Footnote - Hospital 30-Day Readmission Rates from Heart Failure,Hospital 30-Day Readmission Rates from Pneumonia,Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Pneumonia,Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia,Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia,Number of Patients - Hospital 30-Day Readmission Rates from Pneumonia,Footnote - Hospital 30-Day Readmission Rates from Pneumonia
908,,,,110001,HAMILTON MEDICAL CENTER,1200 MEMORIAL DRIVE,,,DALTON,GA,30720.0,WHITFIELD,7062726105.0,15.4,No Different than U.S. National Rate,12.2,19.3,153,,11.3,No Different than U.S. National Rate,9.1,13.9,451,,11.2,No Different than U.S. National Rate,9.1,13.5,552,,16.3,No Different than U.S. National Rate,13.0,20.2,127,,22.8,No Different than U.S. National Rate,20.2,25.8,548,,18.6,No Different than U.S. National Rate,16.2,21.3,578,
909,,,,110002,UPSON REGIONAL MEDICAL CENTER,801 W GORDON STREET,,,THOMASTON,GA,30286.0,UPSON,7066478111.0,14.9,No Different than U.S. National Rate,11.4,19.5,69,,13.3,No Different than U.S. National Rate,9.8,18.0,128,,17.5,Worse than U.S. National Rate,13.7,22.1,184,,21.4,No Different than U.S. National Rate,17.0,26.7,38,,24.3,No Different than U.S. National Rate,20.2,28.8,168,,19.7,No Different than U.S. National Rate,16.1,24.0,189,
910,,,,110003,SATILLA REGIONAL MEDICAL CENTER,410 DARLING AVENUE,,,WAYCROSS,GA,31501.0,WARE,9122872500.0,15.9,No Different than U.S. National Rate,12.5,19.9,118,,12.1,No Different than U.S. National Rate,9.5,15.2,304,,12.6,No Different than U.S. National Rate,10.2,15.5,353,,18.2,No Different than U.S. National Rate,14.5,22.6,69,,24.1,No Different than U.S. National Rate,21.0,27.8,340,,18.6,No Different than U.S. National Rate,15.7,22.0,349,
911,,,,110004,HUTCHESON MEDICAL CENTER,100 GROSS CRESCENT,,,FORT OGLETHORPE,GA,30742.0,CATOOSA,7068582101.0,15.8,No Different than U.S. National Rate,11.9,20.6,56,,13.2,No Different than U.S. National Rate,9.9,17.4,162,,11.5,No Different than U.S. National Rate,8.7,14.7,259,,19.9,No Different than U.S. National Rate,15.8,25.0,31,,23.0,No Different than U.S. National Rate,19.3,27.2,183,,16.6,No Different than U.S. National Rate,13.8,20.0,278,
912,,,,110005,NORTHSIDE HOSPITAL FORSYTH,1200 NORTHSIDE FORSYTH DRIVE,,,CUMMING,GA,30041.0,FORSYTH,4048518700.0,14.6,No Different than U.S. National Rate,11.8,17.9,252,,12.2,No Different than U.S. National Rate,9.7,15.3,359,,13.5,No Different than U.S. National Rate,11.0,16.4,451,,21.8,No Different than U.S. National Rate,18.3,25.7,206,,27.5,No Different than U.S. National Rate,23.9,30.7,440,,19.3,No Different than U.S. National Rate,16.5,22.2,470,
913,,,,110006,ST MARY'S HOSPITAL,1230 BAXTER STREET,,,ATHENS,GA,30606.0,CLARKE,7063893930.0,17.0,No Different than U.S. National Rate,13.2,21.6,90,,12.6,No Different than U.S. National Rate,9.5,16.4,161,,13.6,No Different than U.S. National Rate,10.2,18.2,137,,18.9,No Different than U.S. National Rate,15.2,23.3,73,,23.5,No Different than U.S. National Rate,19.7,27.9,201,,16.0,No Different than U.S. National Rate,12.9,20.1,156,
914,,,,110007,PHOEBE PUTNEY MEMORIAL HOSPITAL,417 THIRD AVENUE,,,ALBANY,GA,31703.0,DOUGHERTY,2293124068.0,14.5,No Different than U.S. National Rate,11.9,17.5,374,,14.2,No Different than U.S. National Rate,11.6,17.6,413,,12.0,No Different than U.S. National Rate,9.7,14.7,384,,16.9,No Different than U.S. National Rate,14.2,20.1,409,,23.5,No Different than U.S. National Rate,20.5,26.9,482,,17.5,No Different than U.S. National Rate,14.8,20.6,422,
915,,,,110008,NORTHSIDE HOSPITAL CHEROKEE,201 HOSPITAL ROAD,,,CANTON,GA,30114.0,CHEROKEE,7707205298.0,17.6,No Different than U.S. National Rate,13.8,22.3,80,,12.4,No Different than U.S. National Rate,9.5,15.8,174,,11.6,No Different than U.S. National Rate,9.1,14.6,280,,18.8,No Different than U.S. National Rate,15.1,23.1,56,,25.0,No Different than U.S. National Rate,21.1,29.3,189,,20.6,No Different than U.S. National Rate,17.2,24.4,277,
916,,,,110010,EMORY UNIVERSITY HOSPITAL,"1364 CLIFTON ROAD, NE",,,ATLANTA,GA,30322.0,DEKALB,4046868500.0,14.4,No Different than U.S. National Rate,11.8,17.3,325,,9.2,Better than U.S. National Rate,7.5,11.4,489,,12.0,No Different than U.S. National Rate,9.3,15.1,226,,16.7,No Different than U.S. National Rate,14.2,20.0,469,,21.7,No Different than U.S. National Rate,19.4,24.7,678,,18.5,No Different than U.S. National Rate,15.5,21.9,251,
917,,,,110011,TANNER MEDICAL CENTER - CARROLLTON,705 DIXIE STREET,,,CARROLLTON,GA,30117.0,CARROLL,7708369580.0,16.8,No Different than U.S. National Rate,13.7,20.2,272,,13.5,No Different than U.S. National Rate,10.8,16.9,323,,12.0,No Different than U.S. National Rate,9.4,15.1,299,,19.2,No Different than U.S. National Rate,15.9,22.9,229,,24.3,No Different than U.S. National Rate,21.1,27.8,386,,18.5,No Different than U.S. National Rate,15.4,21.9,317,
918,,,,110015,TANNER MEDICAL CENTER VILLA RICA,601 DALLAS HIGHWAY,,,VILLA RICA,GA,30180.0,CARROLL,7704563101.0,15.0,No Different than U.S. National Rate,11.3,19.6,37,,12.6,No Different than U.S. National Rate,8.9,17.2,73,,9.7,No Different than U.S. National Rate,6.8,13.6,95,,Not Available,Number of Cases Too Small,Not Available,Not Available,22,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,23.5,No Different than U.S. National Rate,19.3,28.1,98,,19.4,No Different than U.S. National Rate,15.6,23.5,105,
919,,,,110016,WEST GEORGIA MEDICAL CENTER,1514 VERNON ROAD,,,LAGRANGE,GA,30240.0,TROUP,7068821411.0,19.9,Worse than U.S. National Rate,15.6,24.7,129,,9.2,No Different than U.S. National Rate,7.2,11.6,406,,12.7,No Different than U.S. National Rate,9.8,16.2,260,,18.3,No Different than U.S. National Rate,14.7,22.6,105,,24.9,No Different than U.S. National Rate,22.0,28.2,544,,17.0,No Different than U.S. National Rate,14.1,20.6,272,
920,,,,110018,NEWTON MEDICAL CENTER,5126 HOSPITAL DRIVE NE,,,COVINGTON,GA,30014.0,NEWTON,7707867053.0,15.2,No Different than U.S. National Rate,11.8,19.4,114,,11.7,No Different than U.S. National Rate,9.3,14.8,307,,11.1,No Different than U.S. National Rate,8.6,14.3,271,,19.3,No Different than U.S. National Rate,15.6,24.0,77,,22.9,No Different than U.S. National Rate,20.0,26.5,378,,19.2,No Different than U.S. National Rate,16.0,22.9,281,
921,,,,110023,GORDON HOSPITAL,1035 RED BUD ROAD,,,CALHOUN,GA,30701.0,GORDON,7066292895.0,14.1,No Different than U.S. National Rate,10.9,18.3,93,,13.6,No Different than U.S. National Rate,9.9,18.1,114,,10.3,No Different than U.S. National Rate,7.8,13.5,249,,20.1,No Different than U.S. National Rate,16.1,24.5,64,,26.8,No Different than U.S. National Rate,22.2,31.7,126,,19.9,No Different than U.S. National Rate,16.6,23.7,262,
922,,,,110024,CANDLER HOSPITAL,5353 REYNOLDS STREET,,,SAVANNAH,GA,31412.0,CHATHAM,9128196000.0,15.5,No Different than U.S. National Rate,11.7,20.1,41,,12.2,No Different than U.S. National Rate,9.8,14.9,394,,10.7,No Different than U.S. National Rate,8.6,13.3,359,,20.2,No Different than U.S. National Rate,15.9,24.8,26,,24.7,No Different than U.S. National Rate,21.6,28.0,467,,19.0,No Different than U.S. National Rate,16.0,22.1,388,
923,,,,110025,SOUTHEAST GEORGIA HEALTH SYSTEM- BRUNSWICK CAMPUS,2415 PARKWOOD DRIVE,,,BRUNSWICK,GA,31520.0,GLYNN,9124667000.0,16.8,No Different than U.S. National Rate,13.2,20.8,159,,11.6,No Different than U.S. National Rate,9.3,14.2,528,,14.5,No Different than U.S. National Rate,11.9,17.3,457,,18.4,No Different than U.S. National Rate,14.7,22.6,115,,22.0,No Different than U.S. National Rate,19.2,24.9,599,,17.3,No Different than U.S. National Rate,14.8,20.0,463,
924,,,,110026,ELBERT MEMORIAL HOSPITAL,4 MEDICAL DRIVE,,,ELBERTON,GA,30635.0,ELBERT,7062132535.0,15.2,No Different than U.S. National Rate,12.0,18.8,26,,11.4,No Different than U.S. National Rate,8.3,15.6,85,,13.1,No Different than U.S. National Rate,10.0,17.1,163,,Not Available,Number of Cases Too Small,Not Available,Not Available,22,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,23.9,No Different than U.S. National Rate,19.6,28.6,105,,21.3,No Different than U.S. National Rate,17.5,25.3,176,
925,,,,110027,COBB MEMORIAL HOSPITAL,577 FRANKLIN SPRINGS STREET,,,ROYSTON,GA,30662.0,FRANKLIN,7062455034.0,Not Available,Number of Cases Too Small,Not Available,Not Available,21,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,10.2,No Different than U.S. National Rate,7.5,13.7,86,,14.4,No Different than U.S. National Rate,11.2,17.9,184,,Not Available,Number of Cases Too Small,Not Available,Not Available,13,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,23.8,No Different than U.S. National Rate,19.6,28.6,113,,17.1,No Different than U.S. National Rate,14.0,20.8,194,
926,,,,110028,UNIVERSITY HOSPITAL,1350 WALTON WAY,,,AUGUSTA,GA,30901.0,RICHMOND,7067229011.0,15.7,No Different than U.S. National Rate,13.4,18.6,581,,11.6,No Different than U.S. National Rate,9.8,13.8,749,,12.4,No Different than U.S. National Rate,10.5,14.4,681,,18.5,No Different than U.S. National Rate,16.0,21.3,641,,23.0,No Different than U.S. National Rate,20.7,25.5,890,,19.0,No Different than U.S. National Rate,16.6,21.6,690,
927,,,,110029,"NORTHEAST GEORGIA MEDICAL CENTER, INC",743 SPRING STREET,,,GAINESVILLE,GA,30501.0,HALL,7705353553.0,14.2,No Different than U.S. National Rate,12.0,16.5,692,,10.9,No Different than U.S. National Rate,9.4,12.7,926,,12.5,No Different than U.S. National Rate,10.6,14.7,702,,17.6,No Different than U.S. National Rate,15.4,20.2,758,,22.5,No Different than U.S. National Rate,20.4,24.8,1123,,18.4,No Different than U.S. National Rate,16.2,21.0,759,
928,,,,110030,CARTERSVILLE MEDICAL CENTER,960 JOE FRANK HARRIS PARKWAY,,,CARTERSVILLE,GA,30120.0,BARTOW,7703878182.0,16.0,No Different than U.S. National Rate,12.2,20.8,70,,10.7,No Different than U.S. National Rate,7.9,14.2,164,,14.8,No Different than U.S. National Rate,12.0,17.9,315,,19.5,No Different than U.S. National Rate,15.5,23.8,44,,24.2,No Different than U.S. National Rate,20.6,28.4,202,,18.7,No Different than U.S. National Rate,15.8,22.2,324,
929,,,,110031,SPALDING REGIONAL MEDICAL CENTER,601 SOUTH 8TH STREET,,,GRIFFIN,GA,30223.0,SPALDING,7702282721.0,17.7,No Different than U.S. National Rate,14.1,22.2,139,,11.2,No Different than U.S. National Rate,8.8,14.2,350,,10.9,No Different than U.S. National Rate,8.7,13.4,452,,18.7,No Different than U.S. National Rate,15.2,23.0,85,,25.0,No Different than U.S. National Rate,22.1,28.3,435,,20.6,No Different than U.S. National Rate,17.6,23.6,471,
930,,,,110032,STEPHENS COUNTY HOSPITAL,163 HOSPITAL DRIVE,,,TOCCOA,GA,30577.0,STEPHENS,7062824250.0,12.9,No Different than U.S. National Rate,9.9,16.7,61,,10.0,No Different than U.S. National Rate,7.6,13.0,199,,10.6,No Different than U.S. National Rate,8.3,13.3,344,,20.6,No Different than U.S. National Rate,16.2,25.4,44,,24.4,No Different than U.S. National Rate,20.6,28.5,233,,17.1,No Different than U.S. National Rate,14.4,20.6,371,
931,,,,110034,MEDICAL COLLEGE OF GA HOSPITALS AND CLINICS,1120 15TH STREET,,,AUGUSTA,GA,30912.0,RICHMOND,7067216569.0,16.1,No Different than U.S. National Rate,12.6,20.3,123,,11.5,No Different than U.S. National Rate,8.4,15.4,151,,15.5,Worse than U.S. National Rate,12.2,19.7,166,,20.6,No Different than U.S. National Rate,16.9,24.8,128,,27.9,No Different than U.S. National Rate,23.7,32.2,200,,18.9,No Different than U.S. National Rate,15.4,22.7,183,
932,,,,110035,WELLSTAR KENNESTONE HOSPITAL,677 CHURCH STREET,,,MARIETTA,GA,30060.0,COBB,7707935000.0,14.8,No Different than U.S. National Rate,12.6,17.5,580,,11.0,No Different than U.S. National Rate,9.6,12.8,1183,,12.7,No Different than U.S. National Rate,11.0,14.6,979,,21.2,No Different than U.S. National Rate,18.5,23.9,645,,25.1,No Different than U.S. National Rate,23.1,27.3,1422,,20.7,No Different than U.S. National Rate,18.4,23.0,1016,
933,,,,110036,"MEMORIAL HEALTH UNIV MED CEN, INC",4700 WATERS AVENUE,,,SAVANNAH,GA,31403.0,CHATHAM,9123508000.0,15.1,No Different than U.S. National Rate,12.1,18.5,268,,11.6,No Different than U.S. National Rate,9.6,14.0,562,,11.6,No Different than U.S. National Rate,8.9,15.0,205,,17.4,No Different than U.S. National Rate,14.6,21.0,304,,25.1,No Different than U.S. National Rate,22.3,28.0,703,,16.8,No Different than U.S. National Rate,13.7,20.3,216,
934,,,,110038,JOHN D ARCHBOLD MEMORIAL HOSPITAL,915 GORDON AVENUE & MIMOSA DRIVE,,,THOMASVILLE,GA,31792.0,THOMAS,2292282880.0,16.4,No Different than U.S. National Rate,13.0,20.6,196,,10.2,No Different than U.S. National Rate,7.9,12.9,322,,12.9,No Different than U.S. National Rate,10.5,15.9,369,,17.6,No Different than U.S. National Rate,14.4,21.6,162,,22.9,No Different than U.S. National Rate,19.7,26.4,378,,17.1,No Different than U.S. National Rate,14.1,20.5,367,
935,,,,110039,TRINITY HOSPITAL OF AUGUSTA,2260 WRIGHTSBORO RD,,,AUGUSTA,GA,30904.0,RICHMOND,7064817000.0,15.3,No Different than U.S. National Rate,11.4,20.0,42,,13.5,No Different than U.S. National Rate,9.9,17.8,108,,13.2,No Different than U.S. National Rate,9.8,17.4,172,,19.4,No Different than U.S. National Rate,15.1,24.4,31,,23.3,No Different than U.S. National Rate,19.1,28.5,121,,19.3,No Different than U.S. National Rate,15.6,23.8,180,
936,,,,110040,NORTHRIDGE MEDICAL CENTER,70 MEDICAL CENTER DRIVE,,,COMMERCE,GA,30529.0,JACKSON,7063351101.0,14.6,No Different than U.S. National Rate,11.4,18.5,30,,10.8,No Different than U.S. National Rate,7.9,14.6,87,,11.5,No Different than U.S. National Rate,8.3,15.7,70,,18.4,No Different than U.S. National Rate,14.4,22.9,25,,24.2,No Different than U.S. National Rate,20.1,28.9,110,,17.7,No Different than U.S. National Rate,14.0,22.4,76,
937,,,,110041,HABERSHAM COUNTY MEDICAL CTR,541 HISTORIC HIGHWAY 441-NORTH,,,DEMOREST,GA,30535.0,HABERSHAM,7067542161.0,18.0,No Different than U.S. National Rate,14.0,22.6,34,,12.1,No Different than U.S. National Rate,8.8,15.9,93,,11.1,No Different than U.S. National Rate,8.3,14.6,208,,Not Available,Number of Cases Too Small,Not Available,Not Available,12,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,23.4,No Different than U.S. National Rate,19.3,27.9,118,,15.8,No Different than U.S. National Rate,12.8,19.5,222,
938,,,,110042,WELLSTAR PAULDING HOSPITAL,600 W MEMORIAL DR,,,DALLAS,GA,30132.0,PAULDING,7704454411.0,Not Available,Number of Cases Too Small,Not Available,Not Available,14,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,10.3,No Different than U.S. National Rate,7.2,14.4,67,,11.2,No Different than U.S. National Rate,8.1,15.2,131,,Not Available,Number of Cases Too Small,Not Available,Not Available,11,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,26.6,No Different than U.S. National Rate,22.2,31.5,93,,17.7,No Different than U.S. National Rate,14.1,21.9,145,
939,,,,110043,ST JOSEPH'S HOSPITAL - SAVANNAH,11705 MERCY BOULEVARD,,,SAVANNAH,GA,31419.0,CHATHAM,9128194100.0,14.7,No Different than U.S. National Rate,11.6,18.5,246,,12.7,No Different than U.S. National Rate,10.2,15.6,409,,14.9,No Different than U.S. National Rate,11.9,18.6,319,,19.1,No Different than U.S. National Rate,16.0,22.8,324,,22.7,No Different than U.S. National Rate,19.8,26.0,498,,17.5,No Different than U.S. National Rate,14.6,20.8,325,
940,,,,110044,PHOEBE SUMTER MEDICAL CENTER,126 HIGHWAY 280 W,,,AMERICUS,GA,31719.0,SUMTER,2299311280.0,Not Available,Number of Cases Too Small,Not Available,Not Available,23,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,12.3,No Different than U.S. National Rate,9.0,16.5,73,,12.6,No Different than U.S. National Rate,9.2,16.7,131,,Not Available,Number of Cases Too Small,Not Available,Not Available,20,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,21.8,No Different than U.S. National Rate,17.7,26.5,90,,17.4,No Different than U.S. National Rate,14.0,21.6,134,
941,,,,110045,BARROW REGIONAL MEDICAL CENTER,316 NORTH BROAD STREET,,,WINDER,GA,30680.0,BARROW,7703075210.0,Not Available,Number of Cases Too Small,Not Available,Not Available,5,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,9.7,No Different than U.S. National Rate,7.0,13.2,107,,9.6,No Different than U.S. National Rate,6.7,13.6,104,,Not Available,Number of Cases Too Small,Not Available,Not Available,1,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,24.2,No Different than U.S. National Rate,20.0,28.8,149,,18.6,No Different than U.S. National Rate,14.7,23.5,113,
942,,,,110046,CLEARVIEW  REGIONAL MEDICAL CENTER,2151 WEST SPRING STREET,,,MONROE,GA,30655.0,WALTON,7702671792.0,16.2,No Different than U.S. National Rate,12.2,21.0,43,,13.5,No Different than U.S. National Rate,10.2,17.4,153,,12.1,No Different than U.S. National Rate,8.9,16.1,136,,19.0,No Different than U.S. National Rate,15.0,24.0,29,,28.4,No Different than U.S. National Rate,24.0,33.0,190,,20.4,No Different than U.S. National Rate,16.3,25.3,127,
943,,,,110050,MURRAY MEDICAL CENTER,"707 OLD DALTON ELLIJAY ROAD, PO BOX 1406",,,CHATSWORTH,GA,30705.0,MURRAY,7065172031.0,Not Available,Number of Cases Too Small,Not Available,Not Available,4,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,13.6,No Different than U.S. National Rate,10.0,18.3,53,,11.4,No Different than U.S. National Rate,8.1,15.9,79,,Not Available,Number of Cases Too Small,Not Available,Not Available,3,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,25.3,No Different than U.S. National Rate,20.7,30.4,60,,18.4,No Different than U.S. National Rate,14.7,22.9,83,
944,,,,110051,UNION GENERAL HOSPITAL,35 HOSPITAL ROAD,,,BLAIRSVILLE,GA,30512.0,UNION,7067452111.0,15.8,No Different than U.S. National Rate,12.2,20.3,50,,15.5,Worse than U.S. National Rate,12.0,20.3,104,,14.6,No Different than U.S. National Rate,11.3,18.8,186,,19.8,No Different than U.S. National Rate,15.7,24.2,27,,22.4,No Different than U.S. National Rate,18.4,27.0,117,,17.3,No Different than U.S. National Rate,14.1,21.1,206,
945,,,,110054,FLOYD MEDICAL CENTER,304 TURNER MCCALL BLVD P O BOX 233,,,ROME,GA,30162.0,FLOYD,7065096900.0,18.1,No Different than U.S. National Rate,14.4,22.2,128,,13.0,No Different than U.S. National Rate,10.2,16.4,255,,11.8,No Different than U.S. National Rate,9.5,14.6,453,,17.7,No Different than U.S. National Rate,14.3,21.8,107,,22.9,No Different than U.S. National Rate,19.7,26.8,308,,15.5,Better than U.S. National Rate,13.2,18.4,491,
946,,,,110059,HART COUNTY HOSPITAL,"138 W GIBSON STREET,  P O BOX 280",,,HARTWELL,GA,30643.0,HART,7068566113.0,Not Available,Number of Cases Too Small,Not Available,Not Available,23,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,13.9,No Different than U.S. National Rate,10.2,18.4,66,,16.6,Worse than U.S. National Rate,12.5,21.3,117,,Not Available,Number of Cases Too Small,Not Available,Not Available,12,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,23.7,No Different than U.S. National Rate,19.3,28.5,89,,20.4,No Different than U.S. National Rate,16.4,25.2,120,
947,,,,110064,"MEDICAL CENTER, THE",710 CENTER ST BOX 951,,,COLUMBUS,GA,31901.0,MUSCOGEE,7065711000.0,15.7,No Different than U.S. National Rate,11.9,20.6,48,,12.5,No Different than U.S. National Rate,9.4,16.5,116,,18.3,Worse than U.S. National Rate,14.6,22.6,165,,22.1,No Different than U.S. National Rate,17.5,27.3,44,,22.1,No Different than U.S. National Rate,18.3,26.6,128,,17.2,No Different than U.S. National Rate,13.9,20.9,164,
948,,,,110069,HOUSTON MEDICAL CENTER,1601 WATSON BOULEVARD,,,WARNER ROBINS,GA,31093.0,HOUSTON,4789224281.0,14.9,No Different than U.S. National Rate,11.7,18.6,117,,9.0,Better than U.S. National Rate,7.1,11.2,454,,10.0,No Different than U.S. National Rate,8.1,12.1,572,,20.9,No Different than U.S. National Rate,17.2,25.2,85,,27.2,No Different than U.S. National Rate,24.2,30.1,585,,18.9,No Different than U.S. National Rate,16.5,21.5,607,
949,,,,110071,APPLING HOSPITAL,163 E TOLLISON STREET,,,BAXLEY,GA,31513.0,APPLING,9123679841.0,Not Available,Number of Cases Too Small,Not Available,Not Available,18,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,11.9,No Different than U.S. National Rate,8.4,16.5,38,,12.6,No Different than U.S. National Rate,9.6,16.3,181,,Not Available,Number of Cases Too Small,Not Available,Not Available,8,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,25.8,No Different than U.S. National Rate,21.1,31.3,38,,19.4,No Different than U.S. National Rate,15.9,23.1,184,
950,,,,110073,DORMINY MEDICAL CENTER,"200 PERRY HOUSE ROAD, BOX 1447",,,FITZGERALD,GA,31750.0,BEN HILL,2294247100.0,16.0,No Different than U.S. National Rate,12.3,20.3,28,,12.2,No Different than U.S. National Rate,9.0,16.3,111,,13.0,No Different than U.S. National Rate,9.4,17.8,113,,Not Available,Number of Cases Too Small,Not Available,Not Available,15,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,24.1,No Different than U.S. National Rate,19.8,29.0,139,,20.0,No Different than U.S. National Rate,16.0,24.5,111,
951,,,,110074,ATHENS REGIONAL MEDICAL CENTER,1199 PRINCE AVENUE,,,ATHENS,GA,30606.0,CLARKE,7064757000.0,16.4,No Different than U.S. National Rate,13.7,19.3,526,,12.0,No Different than U.S. National Rate,10.2,14.2,746,,10.2,No Different than U.S. National Rate,8.0,12.7,403,,18.1,No Different than U.S. National Rate,15.5,21.1,532,,23.3,No Different than U.S. National Rate,21.1,26.1,887,,17.3,No Different than U.S. National Rate,14.7,20.3,433,
952,,,,110075,EAST GEORGIA REGIONAL MEDICAL CENTER,1499 FAIR ROAD,,,STATESBORO,GA,30458.0,BULLOCH,9124861500.0,16.3,No Different than U.S. National Rate,12.7,20.5,111,,12.2,No Different than U.S. National Rate,9.4,15.6,259,,18.3,Worse than U.S. National Rate,14.4,22.9,205,,20.4,No Different than U.S. National Rate,16.8,24.6,90,,28.0,No Different than U.S. National Rate,24.1,31.9,321,,20.8,No Different than U.S. National Rate,17.1,24.8,219,
953,,,,110076,DEKALB MEDICAL CENTER,2701 N DECATUR ROAD,,,DECATUR,GA,30033.0,DEKALB,4045011000.0,15.0,No Different than U.S. National Rate,12.1,18.3,152,,12.0,No Different than U.S. National Rate,9.8,14.6,482,,12.8,No Different than U.S. National Rate,10.6,15.4,486,,20.0,No Different than U.S. National Rate,16.2,24.2,109,,23.9,No Different than U.S. National Rate,21.0,27.0,560,,17.5,No Different than U.S. National Rate,14.9,20.5,493,
954,,,,110078,EMORY UNIVERSITY HOSPITAL MIDTOWN,550 PEACHTREE ST NE,,,ATLANTA,GA,30308.0,FULTON,4046864411.0,14.7,No Different than U.S. National Rate,11.8,18.1,318,,9.2,No Different than U.S. National Rate,7.2,11.6,479,,11.2,No Different than U.S. National Rate,8.6,14.4,211,,20.6,No Different than U.S. National Rate,17.8,23.7,539,,23.3,No Different than U.S. National Rate,20.7,26.0,736,,19.1,No Different than U.S. National Rate,15.8,22.4,223,
955,,,,110079,GRADY MEMORIAL HOSPITAL,"80 JESSE HILL, JR DRIVE SE",,,ATLANTA,GA,30303.0,FULTON,4046164252.0,16.4,No Different than U.S. National Rate,13.0,20.5,127,,10.1,No Different than U.S. National Rate,7.8,13.0,346,,14.1,No Different than U.S. National Rate,10.7,18.4,146,,21.0,No Different than U.S. National Rate,17.0,25.0,120,,23.9,No Different than U.S. National Rate,20.9,27.0,501,,18.5,No Different than U.S. National Rate,15.0,22.7,168,
956,,,,110082,"SAINT JOSEPH'S HOSPITAL OF ATLANTA, INC",5665 PEACHTREE DUNWOODY ROAD,,,ATLANTA,GA,30342.0,FULTON,6788435720.0,13.9,No Different than U.S. National Rate,11.6,16.6,529,,13.2,No Different than U.S. National Rate,11.1,15.3,664,,12.3,No Different than U.S. National Rate,10.1,14.8,471,,16.2,Better than U.S. National Rate,14.2,18.7,811,,22.4,No Different than U.S. National Rate,20.0,25.2,768,,15.1,Better than U.S. National Rate,12.8,18.4,493,
